| Game Title                                                                     | Discount   | Original Price   | Discounted Price   |
| SnowRunner                                                                     | -45%       | $29.99           | $16.49             |
| Heavenly Bodies - Cleanup DLC Edition                                          | -45%       | $27.98           | $15.46             |
| Warhammer 40,000: Chaos Gate - Daemonhunters - Grand Master Edition            | -45%       | $89.96           | $49.91             |
| GoreBox                                                                        | -40%       | $4.99            | $2.99              |
| ONE PIECE ODYSSEY                                                              | -40%       | $59.99           | $35.99             |
| Dead by Daylight - Survivor Expansion Pack                                     | -40%       | $29.99           | $17.99             |
| WILD HEARTS™                                                                   | -40%       | $69.99           | $41.99             |
| F1® 23                                                                         | -40%       | $89.99           | $53.99             |
| Dead by Daylight - Killer Expansion Pack                                       | -40%       | $29.99           | $17.99             |
| The Sims™ 4 High School Years Expansion Pack                                   | -38%       | $39.99           | $24.79             |
| SnowRunner - 3-Year Anniversary Edition                                        | -37%       | $104.96          | $66.53             |
| Barony                                                                         | -35%       | $14.99           | $9.74              |
| Against the Storm                                                              | -35%       | $29.99           | $19.49             |
| Monster Hunter Rise + Sunbreak                                                 | -34%       | $59.99           | $39.59             |
| Doki Doki Literature Club Plus!                                                | -33%       | $14.99           | $10.04             |
| Friends vs Friends                                                             | -33%       | $9.99            | $6.69              |
| Necesse                                                                        | -33%       | $9.99            | $6.69              |
| Dead Space                                                                     | -30%       | $59.99           | $41.99             |
| Dead by Daylight - Resident Evil: PROJECT W Chapter                            | -30%       | $11.99           | $8.39              |
| The Sims™ 4 Parenthood                                                         | -30%       | $19.99           | $13.99             |
| Dead by Daylight - Sadako Rising Chapter                                       | -30%       | $6.99            | $4.89              |
| Warhammer 40,000: Chaos Gate - Daemonhunters - Duty Eternal                    | -30%       | $14.99           | $10.49             |
| Perfect Heist 2                                                                | -30%       | $9.99            | $6.99              |
| Among Us                                                                       | -30%       | $4.99            | $3.49              |
| Generation Zero® - Motorbikes Pack                                             | -30%       | $6.99            | $4.89              |
| Dead By Daylight - Silent Hill Chapter                                         | -30%       | $6.99            | $4.89              |
| Dead by Daylight - Resident Evil Chapter                                       | -30%       | $11.99           | $8.39              |
| Gas Station Simulator                                                          | -28%       | $19.99           | $14.39             |
| Grim Dawn - Ashes of Malmouth Expansion                                        | -25%       | $17.99           | $13.49             |
| Deadlink                                                                       | -25%       | $19.99           | $14.99             |
| The Sims™ 4 Growing Together Expansion Pack                                    | -25%       | $39.99           | $29.99             |
| Gloomwood                                                                      | -25%       | $19.99           | $14.99             |
| Grim Dawn - Forgotten Gods Expansion                                           | -25%       | $15.99           | $11.99             |
| Deceive Inc.                                                                   | -25%       | $19.99           | $14.99             |
| Call of Duty®: Modern Warfare® 2 (2009)                                        | -25%       | $19.99           | $14.99             |
| Call of Duty: World at War                                                     | -25%       | $19.99           | $14.99             |
| Mini Motorways                                                                 | -25%       | $9.99            | $7.49              |
| Old World                                                                      | -25%       | $39.99           | $29.99             |
| Travellers Rest                                                                | -25%       | $14.99           | $11.24             |
| Monster Hunter Rise: Sunbreak                                                  | -25%       | $39.99           | $29.99             |
| Xenonauts 2                                                                    | -25%       | $39.99           | $29.99             |
| Shadows of Doubt                                                               | -20%       | $19.99           | $15.99             |
| Lunacy: Saint Rhodes                                                           | -20%       | $19.99           | $15.99             |
| Cooking Simulator                                                              | -20%       | $19.99           | $15.99             |
| Aliens: Dark Descent                                                           | -20%       | $39.99           | $31.99             |
| Crimson Tactics: The Rise of The White Banner                                  | -20%       | $29.99           | $23.99             |
| Starsiege: Deadzone Ultimate Founder's Pack                                    | -20%       | $49.99           | $39.99             |
| Warhammer 40,000: Boltgun                                                      | -20%       | $21.99           | $17.59             |
| Wobbly Life                                                                    | -20%       | $14.99           | $11.99             |
| ΔV: Rings of Saturn                                                            | -20%       | $9.99            | $7.99              |
| Killer Frequency                                                               | -20%       | $24.99           | $19.99             |
