| Game Title                                                                           | Discount   | Original Price   | Discounted Price   |
| DEATHLOOP + Ghostwire: Tokyo Bundle                                                  | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $99.58             |
| Project Zomboid + Dying Light Definitive Edition                                     | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $62.98             |
| SAMURAI SHODOWN KIWAMI PACK                                                          | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $79.17             |
| The Zachtronics Puzzle Pack                                                          | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $101.52            |
| The Sword and Whip Bundle                                                            | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $58.48             |
| Quake Collection Bundle                                                              | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $41.20             |
| Hotline Miami Collection                                                             | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $41.21             |
| Telltale Batman Shadows Edition                                                      | nan        | nan              | $29.97             |
| CHAOS;HEAD NOAH / CHAOS;CHILD DOUBLE PACK                                            | nan        | nan              | Your Price:        |
|                                                                                      |            |                  | $44.98             |
| Valkyria Chronicles Bundle                                                           | nan        | nan              | $62.98             |
